Make_x,Model,New Price,Decay Coeff,Fit R2,Half-life,Make_y,Body,Listings
BMW,i3,68136,0.316,0.537,2.19,BMW,Hatchback,100
Bentley,Continental,93877,0.055,0.196,12.53,BentleyBentleyBentleyLincoln,CoupeConvertibleSedanSedan,194
Buick,Enclave,40576,0.138,0.736,5.04,Buick,SUV,162
Buick,Encore,21986,0.083,0.298,8.3,Buick,SUV,121
Buick,LaCrosse,39580,0.172,0.719,4.04,Buick,Sedan,132
Buick,Regal,31308,0.139,0.679,4.97,BuickBuickBuickBuick,SedanWagonHatchbackCoupe,93
Cadillac,ATS,29412,0.108,0.312,6.43,CadillacCadillac,SedanCoupe,76
Cadillac,CTS,55831,0.169,0.508,4.11,CadillacCadillacCadillac,SedanCoupeWagon,328
Cadillac,DTS,55192,0.172,0.093,4.04,Cadillac,Sedan,65
Cadillac,Escalade,80472,0.154,0.938,4.5,CadillacCadillac,SUVCoupe,264
Cadillac,Escalade ESV,88257,0.17,0.849,4.08,Cadillac,SUV,118
Cadillac,SRX,38302,0.141,0.799,4.91,CadillacCadillac,SUVWagon,157
Cadillac,XT5,50452,0.262,0.601,2.64,Cadillac,SUV,122
Cadillac,XTS,28258,0.065,0.33,10.66,Cadillac,Sedan,82
Chevrolet,Avalanche,44339,0.115,0.699,6.02,ChevroletChevrolet,TruckSUV,177
Chevrolet,Blazer,36855,0.112,0.749,6.16,Chevrolet,SUV,75
Chevrolet,Camaro,25092,0.051,0.313,13.69,ChevroletChevroletChevrolet,CoupeConvertibleUnavailable ,492
Chevrolet,Colorado,31988,0.104,0.779,6.68,Chevrolet,Truck,168
Chevrolet,Corvette,69457,0.083,0.61,8.32,ChevroletChevroletChevrolet,CoupeConvertibleHatchback,609
Chevrolet,Cruze,18461,0.119,0.576,5.81,ChevroletChevrolet,SedanHatchback,282
Chevrolet,Equinox,25254,0.127,0.695,5.44,Chevrolet,SUV,392
Chevrolet,Express 1500,25498,0.086,0.238,8.05,Chevrolet,Van,78
